date,e_reader,tablet,desktop_laptop
9/13/10,0.05,0.04,0.65
11/24/10,0.06,0.05,0.68
5/22/11,0.12,0.08,0.69
8/26/11,0.09,0.1,0.72
12/21/11,0.1,0.1,0.75
1/8/12,0.18,0.2,0.77
1/15/12,0.19,0.19,0.78
2/19/12,0.14,0.14,0.76
4/3/12,0.18,0.18,0.77
8/5/12,0.19,0.21,0.77
8/7/12,0.19,0.25,0.76
11/10/12,0.19,0.24,0.77
12/16/12,0.23,0.29,0.76
1/6/13,0.26,0.31,0.77
5/19/13,0.24,0.34,0.75
9/30/13,0.24,0.34,0.74
4/12/15,0.19,0.45,0.73
4/4/16,0.17,0.48,0.74
11/6/16,0.22,0.51,0.78
1/10/18,0.2,0.53,0.73
2/7/19,0.18,0.52,0.74
3/30/20,0.15,0.54,0.72
